date,temperature,humidity,luminosity
2020-12-03 16:32:15.451,24.1,16.5,108
2020-12-03 16:32:13.178,24.0,16.4,109
2020-12-03 16:32:10.909,24.0,16.5,110
2020-12-03 16:32:08.635,24.0,16.5,114
2020-12-03 16:32:06.363,23.9,16.5,105
2020-12-03 16:32:04.089,23.8,16.5,105
2020-12-03 16:32:01.816,23.8,16.6,104
2020-12-03 16:31:59.544,23.7,16.5,105
2020-12-03 16:31:57.274,23.6,16.5,104
2020-12-03 16:31:55.000,23.6,16.5,104
2020-12-03 16:31:52.728,23.5,16.5,104
2020-12-03 16:31:50.454,23.4,16.5,102
2020-12-03 16:31:48.182,23.3,16.5,104
2020-12-03 16:31:45.911,23.2,16.5,104
2020-12-03 16:31:43.643,23.1,16.4,104
2020-12-03 16:31:41.366,23.0,16.4,105
2020-12-03 16:31:39.092,22.9,16.3,107
2020-12-03 16:31:36.819,22.8,16.2,108
2020-12-03 16:31:34.550,22.7,16.1,105
2020-12-03 16:31:32.277,22.6,16.1,105
2020-12-03 16:31:30.003,22.6,16.1,104
2020-12-03 16:31:27.730,22.5,16.0,104
2020-12-03 16:31:25.461,22.5,16.0,106
2020-12-03 16:31:23.188,22.4,15.9,104
2020-12-03 16:31:20.914,22.5,16.0,105
2020-12-03 16:31:18.641,22.5,15.9,105
2020-12-03 16:31:16.368,22.5,15.8,108
2020-12-03 16:31:14.095,22.5,15.7,98
2020-12-03 16:31:11.825,22.6,15.8,110
2020-12-03 16:31:09.552,22.7,15.8,105
2020-12-03 16:31:07.279,22.8,15.8,105
2020-12-03 16:31:05.006,22.8,15.8,105
2020-12-03 16:31:02.737,22.9,15.8,105
2020-12-03 16:31:00.464,23.0,15.9,105
2020-12-03 16:30:58.191,23.1,16.0,105
2020-12-03 16:30:55.917,23.2,16.0,106
2020-12-03 16:30:53.644,23.2,16.0,106
2020-12-03 16:30:51.375,23.3,16.0,106
2020-12-03 16:30:49.102,23.4,16.1,105
2020-12-03 16:30:46.829,23.4,16.0,105
2020-12-03 16:30:44.556,23.5,16.1,105
2020-12-03 16:30:42.287,23.6,16.1,104
2020-12-03 16:30:40.013,23.6,16.1,105
2020-12-03 16:30:37.740,23.7,16.2,106
2020-12-03 16:30:35.467,23.7,16.2,105
2020-12-03 16:30:33.194,23.8,16.2,106
2020-12-03 16:30:30.924,23.8,16.2,106
2020-12-03 16:30:28.651,23.8,16.1,105
2020-12-03 16:30:26.378,23.8,16.2,107
2020-12-03 16:30:24.104,23.9,16.3,105
2020-12-03 16:30:21.831,23.8,16.3,96
2020-12-03 16:30:19.563,23.8,16.3,105
2020-12-03 16:30:17.289,23.8,16.3,105
2020-12-03 16:30:15.016,23.7,16.3,104
2020-12-03 16:30:12.743,23.7,16.3,110
2020-12-03 16:30:10.470,23.7,16.3,105
2020-12-03 16:30:08.196,23.6,16.3,104
2020-12-03 16:30:05.928,23.6,16.3,106
2020-12-03 16:30:03.654,23.5,16.2,104
2020-12-03 16:30:01.381,23.5,16.2,103
2020-12-03 16:29:59.108,23.5,16.2,104
2020-12-03 16:29:56.834,23.4,16.2,105
2020-12-03 16:29:54.566,23.4,16.2,105
2020-12-03 16:29:52.292,23.4,16.2,107
2020-12-03 16:29:50.020,23.3,16.1,106
2020-12-03 16:29:47.746,23.3,16.1,106
2020-12-03 16:29:45.473,23.2,16.1,105
2020-12-03 16:29:43.203,23.2,16.1,106
2020-12-03 16:29:40.930,23.2,16.1,105
2020-12-03 16:29:38.657,23.1,16.1,105
2020-12-03 16:29:36.384,23.0,16.0,106
2020-12-03 16:29:34.115,23.0,16.0,105
2020-12-03 16:29:31.842,22.9,15.9,105
2020-12-03 16:29:29.568,22.9,15.9,106
2020-12-03 16:29:27.301,22.9,15.9,105
2020-12-03 16:29:25.022,22.9,15.9,105
2020-12-03 16:29:22.753,22.9,15.9,105
2020-12-03 16:29:20.479,22.9,15.9,105
2020-12-03 16:29:18.207,23.0,15.9,105
2020-12-03 16:29:15.933,23.0,15.8,105
2020-12-03 16:29:13.660,23.0,15.8,105
2020-12-03 16:29:11.387,23.0,15.7,105
2020-12-03 16:29:09.118,23.1,15.7,105
2020-12-03 16:29:06.845,23.2,15.7,104
2020-12-03 16:29:04.571,23.2,15.7,102
2020-12-03 16:29:02.298,23.3,15.8,97
2020-12-03 16:29:00.025,23.4,15.8,105
2020-12-03 16:28:57.756,23.4,15.8,106
2020-12-03 16:28:55.482,23.5,15.9,106
2020-12-03 16:28:53.209,23.6,15.9,107
2020-12-03 16:28:50.937,23.7,16.0,107
2020-12-03 16:28:48.664,23.7,16.0,108
2020-12-03 16:28:46.394,23.8,16.0,110
2020-12-03 16:28:44.122,23.9,16.0,119
2020-12-03 16:28:41.848,23.9,15.9,105
2020-12-03 16:28:39.574,24.0,15.9,105
2020-12-03 16:28:37.301,24.1,15.9,98
2020-12-03 16:28:35.158,24.1,15.9,102
2020-12-03 16:28:32.759,24.1,15.9,104
2020-12-03 16:28:30.485,24.2,16.0,96
2020-12-03 16:28:28.212,24.2,16.0,105
2020-12-03 16:28:25.940,24.2,16.1,110
2020-12-03 16:28:23.666,24.2,16.2,105
2020-12-03 16:28:21.397,24.1,16.1,109
2020-12-03 16:28:19.123,24.1,16.1,109
2020-12-03 16:28:16.850,24.1,16.2,107
2020-12-03 16:28:14.577,24.0,16.2,103
2020-12-03 16:28:12.305,24.0,16.2,96
2020-12-03 16:28:10.035,23.9,16.1,108
2020-12-03 16:28:07.762,23.9,16.1,105
2020-12-03 16:28:05.488,23.9,16.1,110
2020-12-03 16:28:03.215,23.8,16.1,107
2020-12-03 16:28:00.946,23.8,16.1,107
2020-12-03 16:27:58.672,23.8,16.1,107
2020-12-03 16:27:56.400,23.7,16.0,107
2020-12-03 16:27:54.126,23.7,16.0,106
2020-12-03 16:27:51.853,23.7,16.0,104
2020-12-03 16:27:49.579,23.6,16.0,105
2020-12-03 16:27:47.312,23.6,16.0,105
2020-12-03 16:27:45.038,23.6,16.0,111
2020-12-03 16:27:42.764,23.5,15.9,118
2020-12-03 16:27:40.492,23.5,15.9,112
2020-12-03 16:27:38.218,23.4,15.9,101
2020-12-03 16:27:35.949,23.4,15.9,106
2020-12-03 16:27:33.676,23.4,15.9,106
2020-12-03 16:27:31.403,23.4,15.9,106
2020-12-03 16:27:29.129,23.4,15.8,106
2020-12-03 16:27:26.856,23.4,15.8,106
2020-12-03 16:27:24.588,23.4,15.7,105
2020-12-03 16:27:22.314,23.4,15.7,105
2020-12-03 16:27:20.040,23.5,15.7,105
2020-12-03 16:27:17.767,23.5,15.7,107
2020-12-03 16:27:15.495,23.6,15.7,107
2020-12-03 16:27:13.221,23.6,15.7,106
2020-12-03 16:27:10.952,23.7,15.7,106
2020-12-03 16:27:08.679,23.7,15.7,106
2020-12-03 16:27:06.406,23.8,15.7,105
2020-12-03 16:27:04.133,23.9,15.7,105
2020-12-03 16:27:01.859,23.9,15.7,105
2020-12-03 16:26:59.589,24.0,15.8,105
2020-12-03 16:26:57.316,24.0,15.8,104
2020-12-03 16:26:55.043,24.1,15.8,109
2020-12-03 16:26:52.770,24.1,15.8,107
2020-12-03 16:26:50.498,24.2,15.8,106
2020-12-03 16:26:48.224,24.2,15.8,106
2020-12-03 16:26:45.954,24.3,15.8,106
2020-12-03 16:26:43.682,24.4,15.8,106
2020-12-03 16:26:41.409,24.4,15.7,106
2020-12-03 16:26:39.135,24.5,15.8,105
2020-12-03 16:26:36.862,24.5,15.8,105
2020-12-03 16:26:34.590,24.6,15.8,105
2020-12-03 16:26:32.320,24.6,15.8,105
2020-12-03 16:26:30.046,24.6,15.8,105
2020-12-03 16:26:27.774,24.6,15.8,105
2020-12-03 16:26:25.501,24.6,15.9,105
2020-12-03 16:26:23.227,24.6,15.9,105
2020-12-03 16:26:20.954,24.7,15.9,105
2020-12-03 16:26:18.685,24.7,16.0,104
2020-12-03 16:26:16.412,24.7,16.0,105
2020-12-03 16:26:14.139,24.7,16.1,104
2020-12-03 16:26:11.866,24.7,16.1,103
2020-12-03 16:26:09.592,24.6,16.1,103
2020-12-03 16:26:07.323,24.6,16.1,102
2020-12-03 16:26:05.046,24.6,16.2,95
2020-12-03 16:26:02.776,24.6,16.2,101
2020-12-03 16:26:00.504,24.6,16.3,105
2020-12-03 16:25:58.230,24.6,16.3,104
2020-12-03 16:25:55.966,24.5,16.3,109
2020-12-03 16:25:53.688,24.4,16.1,109
2020-12-03 16:25:51.414,24.4,16.1,113
2020-12-03 16:25:49.141,24.3,16.1,109
2020-12-03 16:25:46.869,24.2,16.0,109
2020-12-03 16:25:44.595,24.1,16.0,94
2020-12-03 16:25:42.326,24.0,16.0,101
2020-12-03 16:25:40.053,24.0,16.0,105
2020-12-03 16:25:37.780,23.9,15.9,109
2020-12-03 16:25:35.507,23.8,15.9,105
2020-12-03 16:25:33.233,23.8,15.9,107
2020-12-03 16:25:30.964,23.7,15.8,107
2020-12-03 16:25:28.690,23.7,15.9,107
2020-12-03 16:25:26.417,23.7,15.8,107
2020-12-03 16:25:24.144,23.8,15.9,106
2020-12-03 16:25:21.871,23.8,15.9,108
2020-12-03 16:25:19.598,23.8,15.9,109
2020-12-03 16:25:17.329,23.8,15.9,108
2020-12-03 16:25:15.055,23.9,15.9,111
2020-12-03 16:25:12.782,23.9,15.8,112
2020-12-03 16:25:10.509,23.9,15.8,97
2020-12-03 16:25:08.236,24.0,15.8,110
2020-12-03 16:25:05.963,24.0,15.8,104
2020-12-03 16:25:03.694,24.0,15.8,112
2020-12-03 16:25:01.420,24.1,15.9,111
2020-12-03 16:24:59.147,24.1,15.9,98
2020-12-03 16:24:56.874,24.1,15.9,106
2020-12-03 16:24:54.601,24.2,15.9,105
2020-12-03 16:24:52.328,24.2,15.9,105
2020-12-03 16:24:50.059,24.2,15.9,102
2020-12-03 16:24:47.817,24.2,15.9,110
2020-12-03 16:24:45.512,24.2,15.9,108
2020-12-03 16:24:43.239,24.3,15.9,105
2020-12-03 16:24:40.966,24.3,15.9,105
2020-12-03 16:24:38.693,24.3,16.0,100
2020-12-03 16:24:36.424,24.3,16.0,107
2020-12-03 16:24:34.150,24.4,16.1,108
2020-12-03 16:24:31.877,24.4,16.2,107
2020-12-03 16:24:29.604,24.4,16.2,111
2020-12-03 16:24:27.330,24.3,16.2,126
2020-12-03 16:24:25.061,24.3,16.1,113
2020-12-03 16:24:22.788,24.3,16.1,106
2020-12-03 16:24:20.515,24.3,16.1,106
2020-12-03 16:24:18.241,24.2,16.1,105
2020-12-03 16:24:15.968,24.2,16.1,105
2020-12-03 16:24:13.699,24.2,16.1,105
2020-12-03 16:24:11.426,24.1,16.1,105
2020-12-03 16:24:09.153,24.0,16.1,105
2020-12-03 16:24:06.880,24.0,16.2,100
2020-12-03 16:24:04.607,23.9,16.1,107
2020-12-03 16:24:02.337,23.9,16.1,108
2020-12-03 16:24:00.064,23.9,16.2,111
2020-12-03 16:23:57.791,23.8,16.1,105
2020-12-03 16:23:55.518,23.8,16.1,105
2020-12-03 16:23:53.245,23.8,16.1,105
2020-12-03 16:23:50.975,23.7,16.1,106
2020-12-03 16:23:48.703,23.7,16.1,103
2020-12-03 16:23:46.429,23.6,16.1,105
2020-12-03 16:23:44.156,23.6,16.1,105
2020-12-03 16:23:41.883,23.5,16.1,105
